City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
101,Ribeira Grande,PT,2021-05-26 17:26:49,38.5167,-28.7,66.6,48,20,9.22
102,Bayan,CN,2021-05-26 17:26:49,46.0833,127.4,49.93,48,42,3.4
103,Butaritari,KI,2021-05-26 17:23:27,3.0707,172.7902,83.34,78,100,19.91
104,Skibbereen,IE,2021-05-26 17:26:50,51.55,-9.2667,57.0,68,98,6.58
105,Nemuro,JP,2021-05-26 17:24:41,43.3236,145.575,44.33,79,28,13.42
106,Shuyskoye,RU,2021-05-26 17:26:50,59.3736,41.0305,50.27,66,55,8.84
107,Bara,NG,2021-05-26 17:22:09,10.3744,10.7288,100.22,18,18,1.79
108,Kyrylivka,UA,2021-05-26 17:26:51,46.3759,35.3675,67.03,65,5,4.21
109,Salalah,OM,2021-05-26 17:24:38,17.0151,54.0924,84.29,79,20,5.75
110,Lavrentiya,RU,2021-05-26 17:26:51,65.5833,-171.0,33.89,73,24,11.95
111,Hirara,JP,2021-05-26 17:26:51,24.8,125.2833,82.27,87,53,19.1
112,Aswan,EG,2021-05-26 17:26:52,24.0934,32.907,95.68,9,0,7.76
113,Cockburn Town,TC,2021-05-26 17:24:33,21.4612,-71.1419,78.73,78,9,16.17
114,Geraldton,AU,2021-05-26 17:26:52,-28.7667,114.6,55.81,54,100,15.55
115,Alofi,NU,2021-05-26 17:26:52,-19.0595,-169.9187,75.09,94,88,3.44
116,Kununurra,AU,2021-05-26 17:26:53,-15.7667,128.7333,73.38,68,40,5.75
117,Severo-Kurilsk,RU,2021-05-26 17:26:53,50.6789,156.125,38.01,98,100,15.35
118,Komsomolskiy,UZ,2021-05-26 17:26:53,40.4272,71.7189,72.82,32,56,6.64
119,Puerto Ayora,EC,2021-05-26 17:26:53,-0.7393,-90.3518,82.36,87,28,8.99
120,Celendin,PE,2021-05-26 17:26:54,-6.8703,-78.1517,70.32,55,19,2.57
121,Cherskiy,RU,2021-05-26 17:24:07,68.75,161.3,51.33,47,27,3.36
122,Raahe,FI,2021-05-26 17:26:54,64.6833,24.4833,52.2,72,42,17.18
123,Coquimbo,CL,2021-05-26 17:26:11,-29.9533,-71.3436,58.73,82,0,4.47
124,Knokke-Heist,BE,2021-05-26 17:26:54,51.3333,3.3333,59.0,75,34,8.99
125,Clyde River,CA,2021-05-26 17:26:55,70.4692,-68.5914,32.23,80,20,17.27
126,Vitim,RU,2021-05-26 17:26:55,59.4511,112.5578,42.73,80,71,3.27
127,Maniitsoq,GL,2021-05-26 17:26:55,65.4167,-52.9,41.36,83,100,10.25
128,Arraial Do Cabo,BR,2021-05-26 17:26:39,-22.9661,-42.0278,76.96,69,40,8.05
129,Chapais,CA,2021-05-26 17:26:56,49.7834,-74.8492,71.38,72,100,17.58
130,Fairbanks,US,2021-05-26 17:26:56,64.8378,-147.7164,53.56,56,1,3.44
131,Sayyan,YE,2021-05-26 17:26:56,15.1718,44.3244,71.33,17,58,11.12
132,Pomabamba,PE,2021-05-26 17:26:57,-8.8333,-77.4667,58.19,52,18,5.88
133,Poum,NC,2021-05-26 17:26:57,-20.2333,164.0167,71.6,60,38,11.56
134,Narsaq,GL,2021-05-26 17:23:51,60.9167,-46.05,34.02,97,100,4.61
135,Bonavista,CA,2021-05-26 17:26:57,48.6499,-53.1147,51.8,88,97,9.75
136,Barrow,US,2021-05-26 17:26:58,71.2906,-156.7887,30.22,86,90,14.97
137,Katobu,ID,2021-05-26 17:26:58,-4.9408,122.5276,75.6,95,93,4.79
138,Alexandria,EG,2021-05-26 17:26:37,31.2156,29.9553,75.16,73,0,12.66
139,Bayir,TR,2021-05-26 17:26:58,37.2687,28.2167,77.83,44,18,2.73
140,Shumikha,RU,2021-05-26 17:26:59,55.2261,63.2961,59.16,50,3,10.98
141,Porto Velho,BR,2021-05-26 17:26:59,-8.7619,-63.9039,87.85,55,40,8.05
142,Florianopolis,BR,2021-05-26 17:26:59,-27.6146,-48.5012,74.41,56,0,12.66
143,Chokurdakh,RU,2021-05-26 17:27:00,70.6333,147.9167,31.17,81,35,8.48
144,Riyadh,SA,2021-05-26 17:25:17,24.6877,46.7219,102.25,8,20,10.36
145,Nuuk,GL,2021-05-26 17:27:00,64.1835,-51.7216,41.61,65,75,10.36
146,Leningradskiy,RU,2021-05-26 17:25:37,69.3833,178.4167,27.81,91,31,7.23
147,Mandera,KE,2021-05-26 17:27:00,3.9366,41.867,82.63,52,100,9.8
148,Putina,PE,2021-05-26 17:27:01,-15.4667,-69.4333,46.08,59,34,5.21
149,Presidencia Roque Saenz Pena,AR,2021-05-26 17:27:01,-26.7852,-60.4388,77.92,37,57,3.98
150,Iisalmi,FI,2021-05-26 17:27:01,63.5592,27.1907,51.82,62,100,13.4
151,Port Lincoln,AU,2021-05-26 17:27:01,-34.7333,135.8667,56.62,73,22,6.96
152,Karpathos,GR,2021-05-26 17:24:40,35.507,27.2132,73.36,56,0,12.37
153,Luderitz,NA,2021-05-26 17:27:02,-26.6481,15.1594,63.84,73,4,7.05
154,Port Alfred,ZA,2021-05-26 17:23:44,-33.5906,26.891,61.75,74,94,4.41
155,Tasiilaq,GL,2021-05-26 17:27:02,65.6145,-37.6368,37.56,96,100,37.38
